,sentence,label
8455,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,0
9461,Anything lar...,0
8367,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_",0
1484,What does your company do?,1
12125,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",0
10285,Not to worry. I'm sure you'll get it.,0
3708,"It makes the education sector a tough one to crack, but for those who do and are given the green light, the growth curve from there is very exciting.",1
3351,How did you get your first customer?,1
4945,We are now shifting our focus to Covid-19 related charities and have reached out to our Glorify community to suggest charities that we can donate to,1
5614,What does your company do?,1
5092,Our interview with Demos:,1
2539,"In his second guest post for Angel Investment Network, Dan Simmons, CEO of Propelia, explains ‘How understanding the shift from Product Market Fit to Founder Market Fit in the pre-seed space can now help influence your early stage thinking and planning’:",1
7490,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",0
590,You’ve got your key investor(s) on board…,1
6677,CAN YOU GIVE ME AN EXAMPLE OF HOW WHAT3WORDS IS USED IN THE UK? AND IN THE “DEVELOPING WORLD”?,1
6472,People making their first skirmishes into angel investments are sometimes put off by the idea of DD,1
1314,"We haven’t had to make a full pivot, but we’ve angled our crosshairs towards industries and products we already work with that are more robust (and even performing abnormally well) in the current global market climate, such as sports equipment and health supplements.",1
9282,Whom you waited for yesterday,0
161,"Having launched and sold my own business, I dedicate my time to supporting impactful entrepreneurs to grow in more sustainable ways",1
403,"We caught up with Wayne Edward Clarke, Founder of Fast Water Dispensers, who explains how he is revolutionising water dispensers in the Philippines.",1
2763,This is something we are trying to disrupt and we really are the first of the kind,1
5705,Increasing investment from overseas,1
9111,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.,0
5549,It is rare that you would find these on a crowdfunding platform.,1
9069,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p ",0
11316,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,0
9358,I'll talk to the others and probably just come early tomorrow then,0
1286,"Has Covid-19 had any impact on your fundraising plans? And if so, how are you adapting? ",1
715,Always assume best intent.,1
5295,"Through Mammalo, people are paired up with local professionals, making it hassle free to get the boiler repaired, hire a photographer or source a makeup artist.",1
8634,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",0
5788,The ambition is for more than a dozen shops across London and an international expansion.,1
6342,I wrote a comment piece for Angel News which ties in with Liv’s argument for women investors and the impact sector.,1
6065,The Working Capital Cycle Explained,1
1927,South Africa’s biggest problem is unemployment,1
4006,"We decided to launch with the homepage feature on Tuesday, by Sunday had issued docs to the interested investors and closed the round the following Friday on target.",1
10279,Badrith is only for chennai:)i will surely pick for us:)no competition for him.,0
10749,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",0
1620,Meanwhile ‘electronics’ is up by nine places on the list to number six.,1
4456,"Instead, your investors will receive their shares (generally at a discount) when you close your next funding round",1
3809,My biggest fundraising mistake was…,1
358,"Fundraising, Investment",1
6671,WHAT DOES “IMPACT” MEAN TO YOU AS A PROFIT-DRIVEN COMPANY?,1
9709,Sorry de i went to shop.,0
9243,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,0
4519,Equally founders without this journey will find this very uncomfortable and may demonstrate signs that they wish to only look forward via more traditional planning and strategy lenses and insights.,1
7706,So when do you wanna gym harri,0
634,"We were relatively fortunate that when COVID hit, we were a still a nimble start up and  a lot of the engineering was still at the “developed in a garage” stage",1
7396,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,0
11706,Wif my family booking tour package.,0
7138,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0
8508,Sounds like something that someone testing me would sayy,0
10367,"Hey elaine, is today's meeting still on?",0
2589,How Do You Assess Where You Are On This Shift?,1
7604,Meet after lunch la...,0
2568,However there are also additional stakeholders that are worth noting and exploring further,1
5686,The Northern Ireland startup scene deserves more attention,1
6402,"Luke Gavin, a 26-year old Greentech consultant, knows this difficulty: “One of the frustrating things about the low carbon energy sector is its inaccessibility to the average person – so much of the money comes from large institutional investors.”",1
2818,I spent months pitching at intermittent events and meetings waiting for my angel to land in lap not realising what I was doing was practising.,1
1470,Do you need a background in tech to launch a tech business? ,1
3729,"Student motivation is still a concern, with course completion rates often low, but in comparison to younger learners, many adults actively engage with the digital structure and find that it opens up a world of opportunity",1
9672,Super msg da:)nalla timing.,0
3108,"It soon became apparent that investors were unlikely to take risks on new business startups, as they may need to step in and financially support those already within their portfolio",1
2799,"Be firm on your timeline, if you don’t have one set one ",1
7444,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS,0
8583,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",0
8037,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",0
11257,I am late. I will be there at,0
11670,"Probably not, I'm almost out of gas and I get some cash tomorrow",0
7824,Have a good evening! Ttyl,0
7802,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,0
11240,Detroit. The home of snow. Enjoy it.,0
6847,The rise in awareness of the key social and environmental issues of our time has started a shift in the way many investors view the desired outcome of their investments,1
1883,A meld of automation and human touch that scales and works,1
12421,"Hi elaine, is today's meeting confirmed?",0
3918,"Working from home was something that was alway going to happen, probably in a decade or so",1
4644,"The company has digitised content from more than 2,000 publishers including: Pearson, McGraw-Hill, Oxford University Press",1
1933,Breaking the cycle – how female-led startups can succeed in 2021,1
3188,"Some of our clients, particularly those based in countries or localities worse hit by the virus, have understandably slowed down their efforts during this time, so we’ve been making sure their social media reflects that and is kept managed despite everything else – but there are other founders we work with who have flourished despite the crisis and their startups are continuing to gain traction and grow",1
6186,Leasing and Hire Purchase,1
3232,Is there anything your business is doing to help in your community or with the wider crisis?,1
4395,The convention of a tech startup needs to have a tech team is being challenged,1
9659,Ok...,0
10716,I'm gonna rip out my uterus.,0
1137,With our current raise we wanted to bring on investment from new sources but from people who share our vision,1
8418,Lmao. Take a pic and send it to me.,0
8509,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,0
9887,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,0
6306,Elite Business Magazine recently did a feature on this to discuss why female founders find it harder to raise funding than males.,1
1237,Have you been engaged in a fundraise during this time?,1
2318,*12 days after our pre-seed round we deployed our own three algorithms that means you can now see all the sizes and colours of a particular trainer.,1
1136,We’ve previously raised very successfully from our own network and members,1
8873,You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,0
9849,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,0
1646,The Top Keywords for Investors:,1
4031,"When we think of our own well being, we now think of it in a broader sense",1
1716,Please visit seedtribe.com for more information.,1
11000,He's just gonna worry for nothing. And he won't give you money its no use.,0
8052,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",0
5205,"What sort of support network should you put together to ensure you get the backing you need? One view is that in order to get a better support network, you should only have a women focused network",1
3293,I studied literature and had nothing to do with tech,1
10140,Customer place i will call you,0
3937,So why is it so hard to find out all of my buying options for a set of wireless headphones? I am not alone in having to open endless tabs across multiple retailers and marketplaces when I shop online.,1
2232,"It took a few days of research, design, and fabrication to produce the item that I now consider to be my proof-of-concept prototype, and I used it successfully for months",1
6971,"18 months ago, I reported that data science marketplace, Pivigo, had closed its latest funding round (£300k through Angel Investment Network) off the back of some impressive growth.",1
1147,The channel is run by a team of six full time staff from London,1
2440,It was therefore an obvious next step to combine the two and form a company that utilised the powerful potential of optical measurements.,1
182,To build on the success of our MVP,1
8780,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,0
1033,"Note that we also monetise our consumer App (subscriptions, in-app purchases and advertising (no drug ads though!).",1
10369,Most of the tiime when i don't let you hug me it's so i don't break into tears.,0
6132,"For an established business with a trading history, a bank loan is one of the most popular choices for securing finance.",1
4888,Sing King offers high quality karaoke content via its YouTube channel and has over 90 million views per month,1
636,"We are also in the fortuitous position that as our measurements are non-contacting, they are much safer than the existing devices we are seeking to replace, as these devices must physically contact the patient or draw their blood",1
10150,Yeah but which is worse for i,0
12112,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,0
3539,From a vision of opening up the closed world of angel investment to an expanding global network of a million users,1
3165,Co-Founders Nargis and Demos,1
1288,"It soon became apparent that investors were unlikely to take risks on new business startups, as they may need to step in and financially support those already within their portfolio",1
6900,We believe that good business should have a positive impact on society,1
3553,Speaking about the anniversary James Badgett said:,1
3971,It might just be that someone suggests something that you hadn’t considered and from difficult circumstances comes your next big personal development.,1
2907,"Our mission is to help people change their relationship with alcohol which leads on to most of them, fundamentally transforming their lives.",1
7982,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",0
2074,And all these considerations came to mind when I decided it was right for me to leave the company and exit.’ ,1
207,"We are the 199th certified UK B-corp, with a hire & return model across events and venues reducing battery waste as we recharge and reuse",1
9936,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,0
5191,"Above all, stay safe – although times are tough, this will pass.",1
3273,Are you taken as seriously being a woman?,1
4213,"The risk of spreading infections, causing accidental harm or pain is completely removed by our non-contacting devices, which is great news for both the patient and the clinician.",1
3955,How have you overcome challenges during COVID?,1
1202,He promises to make available an initial £330 billion of guarantees – equivalent to 15% of UK GDP,1
653,"This market alone is now worth over $14bn, and that is based on people sticking needles into themselves",1
1592,"We are a subscription based model delivering 3 trips per year to surprise European destinations, for a fixed monthly fee",1
7550,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",0
934,What are your top tips for anyone raising investment for the first time?,1
2433,Our devices simply shine light into the eye and detect changes and markers that indicate the person’s health,1
11159,i felt so...not any conveying reason.. Ese he... What about me?,0
12299,Well good morning mr . Hows london treatin' ya treacle?,0
2802,"Maybe 50% off the time, as yes you need to run a business",1
1352,We know what it’s like to build a startup and we want to champion startups in any way possible to give them a greater chance of success.,1
12449,"Latest News! Police station toilet stolen, cops have nothing to go on!",0
721,There is a recognisable shift starting to happen in the early stage space,1
10817,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,0
6591,"GOAL 9: INDUSTRY, INNOVATION & INFRASTRUCTURE",1
10807,Mm you ask him to come its enough :-),0
8778,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0
11595,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",0
10563,Do you always celebrate NY's with your family ?,0
5748,Have you got an A team?,1
280,"We are an online non subscription business model, which people enjoy because they can use the service without feeling tied in, and that works for us and them.",1
4634,A friend raised funding for the network and  thought it was really easy to use,1
11242,Okie...,0
10891,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,0
10606,I have no idea where you are,0
9813,"Alright if you're sure, let me know when you're leaving",0
5860,Collaboration is the most powerful tool we have for inspiring and empowering change,1
672,"Our performance has received plaudits from several media outlets, being covered by Techround, Growth Business UK, Bdaily, Business Mondays and Angel News.",1
5142,Have you been engaged in a fundraise during this time?,1
12237,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,0
12328,Sweet heart how are you?,0
5310,"When, as a founder, you are ready to tell this story, and bring some proof of customer adoption, you are ready to raise money.",1
348,"Brad Feld, Jason Calacanis, Elizabeth Yin, who will give you tons of *free* advice AND *free* training on pitching, negotiating with VCs etc.).",1
5915,The Spice Girls (1997),1
964,"We spoke to Ben Carew, Co-Founder at We Coffee, about how to complete a successful fundraise, and also equally important, what not to do.",1
11060,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",0
5562,Following extensive research and discussions with the network SeedTribe has identified five key areas of focus,1
3219,How has this been impacted and are you adjusting your plans?,1
9617,I cant pick the phone right now. Pls send a message,0
6368,Last month I wrote a piece on this ‘democratisation’ of impact investments for Angel News.,1
11005,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,0
10287,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ",0
3858,Sixty Second Startups – FastWater Dispenser,1
6663,"We are incredibly lucky to have a range of industry-experts backing what3words, all drawing upon extensive expertise, following successful careers in the automotive, technology, venture capital, and challenger sectors.",1
1866,Opposites attract when it comes to co-founders,1
4280,"It’s always fantastic when people you know do well, like Ex-Google Engineer Lewis Hemens, co-founder of dataform.co, who pitched in 2017, going on to complete Y Combinator & raise a seed round with a top European VC",1
1343,"Our latest #SixtySecondStartup is with Demos Co-founder of Blazon, a new social media service for startups",1
11733,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,0
8197,He also knows about lunch menu only da. . I know,0
8958,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",0
10424,True. Its easier with her here.,0
9428,She.s find. I sent you an offline message to know how anjola's now.,0
11938,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,0
9653,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0
7893,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,0
3941,We are actively looking for new commercial and investment partners to increase our offer.,1
9872,I dont understand your message.,0
3038,"If you have the resources, try to invest in essential and fast moving products that you are certain will sell",1
8315,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",0
2986,"Furthermore, with the vast majority of countries on lockdown, the need for online shopping has grown tremendously",1
12082,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),0
8600,K.then any other special?,0
6467,This does not mean you should carry out minimal DD,1
2237,-The very low cost of labor in the Philippines,1
5874,"If everyone were encouraged to see investment as the “triple bottom line”, companies would be incentivised to act in the interest of people and planet, we would see less short-termism, and I also think it might engage more people in the world of investing, as they’d see how it relates to their own values and future, not just a return in the next 12 months.",1
7303,He is a womdarfull actor,0
3604,‘They are both highly transactional,1
10357,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,0
629,"We have a great team with a huge amount of medical and engineering knowledge, experience and brain power",1
12160,Ok... Then r we meeting later?,0
1540,A willingness to experiment and an inclination to speak more in terms of immediate actions than long-term plans.,1
12205,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,0
3568,"If there is one positive from the pandemic, it has been the sheer volume of innovation and exciting businesses that are forming and growing as a result, as markets shift and new trends emerge",1
11110,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,0
121,"This matters from both a moral, fairness perspective but also from the end consumer perspective",1
6049,"“The UK is a great place to start a business, but survival rates are low",1
9994,Mm not entirely sure i understood that text but hey. Ho. Which weekend?,0
932,"We wanted to grow our platform further, both acquiring new members and also optimize the product and make the platform better",1
10389,Please CALL 08712402972 immediately as there is an urgent message waiting for you,0
9533,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,0
10912,Yeah whatever lol,0
2641,There are very few data points to help successfully plot the course forward if you are a founder or investor trying to launch into an uncertain market sector – particularly in these post-Covid times,1
9305,Still in the area of the restaurant. Ill try to come back soon,0
8696,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",0
1644,Entertainment & leisure,1
11841,"Awesome, that gonna be soon or later tonight?",0
1524,What is your business model?,1
11874,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",0
3021,It is indeed reassuring to see the Chancellor announcement to help and support small to  large businesses across all industries,1
4487,The team’s credentials were impeccable in their experience as entrepreneurs and addressing so we look forward to seeing the huge success of this company as it grows to help millions of people across the globe get better access to services.” ,1
2569,Here’s a few of them worth exploring.,1
1685,And we decided that the time was right to start making the most of that,1
9407,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",0
1892,"Later on, I realised the difficulties people faced with learning the skills that could get them rewarding, fulfilling careers – and so HyperionDev expanded to teaching people even outside of university.",1
4117,when you meet someone who wants to invest) and as needed.,1
4707,Why did you set up this company?,1
12230,"Nope, I'm still in the market",0
8658,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,0
10056,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,0
2431,"Currently, the diagnosis and monitoring of many chronic health conditions is inadequate, leading to people suffering when they don’t need to or even shortening their life expectancy",1
1762,"On top of this it’s FDA approved, has margins in excess of 70% and has developed partnerships with the Hug group and Space NK",1
1598,"The latter will allow us to leverage synergies between BRB and established audiences in other verticals such as financial services, telcos, travel or media",1
1739,"“When we set up AIN, angel groups tended to be focused on a regional basis",1
11881,As usual u can call me ard 10 smth.,0
7843,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",0
9550,Please sen :)my kind advice :-)please come here and try:-),0
1581,Our interview with Greg:,1
12011,U attend ur driving lesson how many times a wk n which day?,0
992,"We are more than happy to help one another avod the ****, find the right investors and generally navigate the startup world",1
7902,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",0
6213,A recent report by Allied For Startups takes a deep dive into how current regulatory systems are affecting the landscape for European startups…,1
4088,"By deploying Machine Learning and AI algorithms, they aggregate retailer offers and rich product information so shoppers are presented with all of their buying options on a single screen",1
7445,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",0
7446,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",0
5535,We have investors from almost every country in the world,1
1102,"In our first year, when we set up the free challenge and promoted it via social media, we got over 20,000 members",1
4490,"A Pilot Round that essentially identifies and connects founders with aligned investors, to enable them to quickly leverage SEIS capital to fuel, test and iterate strategic market assumptions over the next 6 months.",1
12468,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",0
12260,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,0
11727,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;,0
3556,"We saw that good ideas weren’t getting the funding they deserved, because entrepreneurs’ access to angels outside their immediate circles was severely restricted",1
8716,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",0
4389,"While the tech team may know all the ins and outs of the project by memory, it will be much harder to onboard new developers or take over the tech if the need arises",1
6301,This is true across a spectrum of industries,1
1106,"This was because generally, if you have skin in the game, you actually apply yourself – so we reinvested and relaunched as a paid for model in 2017.",1
759,This starts to assign an actual value to the dynamics of Founder Market Fit that were previously considered to have a marginal worth at best when compared to the more tangible metrics and measures of Product Market Fit.,1
6752,Each film’s trailer will also be promoted on the web through social media and advert placements,1
947,"We are a large community, we have some really strong numbers",1
9942,No message..no responce..what happend?,0
8803,I'm in class. Did you get my text.,0
8028,"Lol you forgot it eh ? Yes, I'll bring it in babe",0
356,Why did you choose to use Angel Investment Network? ,1
5223,Ching’s is developing a dating app called The Moment  ,1
130,Home schooling has been a clear example,1
6609,How is Seedtribe helping?,1
8035,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",0
3001,"With the Covid-19 pandemic, more and more people are turning to online shopping which creates the need for more eCommerce businesses",1
4480,"According to Timbo Drayson, “A physical address should be a human right",1
10142,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),0
3262,"* Look after your mental health: the meditation app, Calm, is offering free mediation videos.",1
8120,Cancel cheyyamo?and get some money back?,0
2617,Early stage startups should focus in building and iterating the core of their product first and foremost,1
6509,"When entering into an investment agreement, you need to be aware of any information that may increase or decrease the risks involved",1
7998,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,0
5391,Entertainment & leisure,1
3813,"I got a couple of tips from friends, then tried it and, (to my surprise), angel investors started to contact me and actually invest!",1
4568,What are some of the challenges? And how do you help people overcome them?,1
392,"Powered by feathers, Pluumo can keep food deliveries chilled while replacing expanded polystyrene",1
11641,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,0
5567,Businesses winning investment and support,1
11613,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,0
8249,"I call you later, don't have network. If urgnt, sms me.",0
8308,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,0
6754,"Once the site starts to build traffic, we are going to produce the app for IOS and Android",1
670,"Despite the pandemic, there has been impressive growth across Europe, with Germany seeing a 40% increase in revenue, the Netherlands up 130% and France up 27%",1
10190,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,0
11789,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,0
1746,"With AIN now having a footprint in every continent (except Antarctica where unsurprisingly there doesn’t seem to be much demand), we can’t wait to see where we’ll be 15 years from now! Happy anniversary AIN.",1
2314,Showing shoppers all of their buying options needs to work in parallel with supporting retailers and brands,1
1530,We also consider this workforce to contain a massive amount of untapped operational and creative potential – we aim to empower.,1
333,  Yorkshire and Humber,1
987,"Be flexible in what your raising, if you get half can you make a business or the next step? If double what would you do? ",1
12443,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,0
860,"He has worked in over 60 countries, has five kids and is a self professed exercise nut.",1
6779,The market has many subscription service providers for every genre,1
10897,Otherwise had part time job na-tuition..,0
5036,We are now taking the opportunity to hone our proposition even further and reframe our business plan so that we can relaunch in summer 2021 in tandem with the UK music festival season,1
1318,How has this been impacted and are you adjusting your plans?,1
511,"Personally and with aisle 3, we are still at the very start of a journey that started in challenging times amongst an incredibly specific set of circumstances.",1
9848,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",0
10762,K.i will send in  &lt;#&gt;  min:),0
3829,This virtuous circle means we will in turn help to inspire a new generation of entrepreneurs focused on the solutions to mankinds’ most pressing problems,1
2355,"I think, as shoppers, we are too accepting of the status quo and the need to open multiple tabs on your browser even though hotels, car insurance or flights are easy to compare.",1
5413,These partners then offer our solution to small and large companies as a value added service on top of what they already offer.,1
410,The long amount of time it took to draw a coffeepot full of water from a standard water dispenser to make coffee every morning became more frustrating until it was intolerable.,1
4315,"However will market conditions now very much being set to ‘Uncertain’ post-COVID, it is clear that any founder predicting more than 6 months out is simply putting ‘their finger in the air’ and practising some sort of start up fortune telling with no real basis in the reality of events unfolding on the ground",1
783,"Investing in tech startups can be daunting, especially if you don’t have a tech background",1
2598,"Once completed, this enables them to then evaluate and ideally increase the value of  the greenlighting of a subsequent larger round to fund the further launch of their product and operations",1
1771,The AIN Book Club ‘Book of The Month’ – ‘The Interaction Field’,1
1011,"Pharmasentinel.com is a pioneering B2C2B healthtech, leveraging AI to provide our users with trusted, timely and tailored medicines and medical conditions (mental health, diabetes, skin conditions) news, information, alerts and related content such as video podcasts, live streaming.",1
6846,The decision to be an impact investor is an empowered choice which has already enabled many world-changing businesses to do great things,1
7933,What time you think you'll have it? Need to know when I should be near campus,0
8271,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,0
2808,Don’t be scared to say no,1
4051,"Key players in the sector focus on either ‘longevity’ solutions, technologies that improve health, nutrition and ‘healthspan’ or solutions to medical diagnosis and downstream disease prevention or cure",1
6371,"“If you think you are too small to make a difference, try sleeping with a mosquito.”",1
4862,"Nor is having the money to afford their going rate, or even above that",1
1068,We focus on the resilient VFR market segment that always needs to fly home,1
12395,Dunno lei shd b driving lor cos i go sch 1 hr oni.,0
9712,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,0
11504,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,0
12276,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,0
6528,"Oleg Fomenko, Founder of Sweatcoin – the fastest growing health and fitness app in history",1
667,"In the past twelve months we’ve overseen a record 192,000 new registrations from entrepreneurs",1
8314,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,0
11134,No need to say anything to me. I know i am an outsider,0
7264,Why you Dint come with us.,0
6965,It’s been a pleasure working with all of them,1
145,Remember investors are expecting to be asked for money,1
3547,"In the last year alone, AIN has received over 100,000 pitches from entrepreneurs across the globe, with the figure doubling over the last two years",1
3761,We’ve seen so many fantastic ideas but this shows when someone has really found something that has an impact for educators.,1
10774,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0
3317,"This was despite us having no marketing budget, and not sending a single email or doing any cold calls",1
9530,So the sun is anti sleep medicine.,0
3704,"These have all of the hurdles of the other two, and then the added complication of being influenced by broader regulation or controls, such as the school board or government",1
6931,NatureMetrics is an award-winning technology start-up using cutting-edge genetic techniques to monitor biodiversity,1
6802,Interested in Impact Investment?,1
1206,I believe that the government needs to pay attention to the strat-up spaces as much as  the large companies,1
4767,Good people cost money,1
5008,"For more tips on dealing with the impacts of coronavirus, visit our Startup Survival Guide.",1
